file_name_1,file_name_2,content_1,content_2
59.txt,356.txt,"美国将暂时关闭位于乌克兰首都基辅的美国驻乌克兰大使馆,使馆剩余人员将转移至乌克兰西部城市利沃夫。","鉴于俄罗斯军队对乌克兰采取的军事行动,建议美国公民立即离开俄罗斯。"
59.txt,1500.txt,"美国国务卿布林肯当地时间14日发表声明说,美国将暂时关闭位于乌克兰首都基辅的美国驻乌克兰大使馆,使馆剩余人员将转移至乌克兰西部城市利沃夫。","美国国务院当地时间25日发表声明说,美国国务卿布林肯和国防部长奥斯汀24日抵达乌克兰,在乌克兰首都基辅与乌总统泽连斯基举行会谈。"
62.txt,75.txt,"14日,泽连斯基呼吁该国人民在16日悬挂国旗、唱国歌。","乌克兰边境局势持续紧张,有西方媒体指俄罗斯或在2月16日“入侵”乌克兰。对此,俄方再次否认,总统普京表态称俄罗斯并不希望发生战争。"
84.txt,98.txt,"乌克兰越野滑雪运动员卡明斯卡在2月10日的兴奋剂检测中,结果呈阳性。","乌克兰越野滑雪运动员卡明斯卡已被告知此事,并被暂时停赛。"
89.txt,465.txt,"俄罗斯国防部发言人科纳申科夫表示,俄罗斯执行演习任务的西部和南部的首批部队已经在演习后抵达其长期驻扎地。",",俄罗斯国防部发言人5日表示,自俄罗斯开展特别军事行动以来,俄军已摧毁乌克兰2037处军事设施目标。"
89.txt,614.txt,"俄罗斯国防部发言人科纳申科夫表示,俄罗斯执行演习任务的西部和南部的首批部队已经在演习后抵达其长期驻扎地。",",当地时间11日,俄罗斯国防部发言人伊戈尔·科纳申科夫表示,自俄罗斯开展特别军事行动以来,俄军已摧毁乌克兰超3200处军事目标。"
89.txt,690.txt,"俄罗斯国防部发言人科纳申科夫表示,俄罗斯执行演习任务的西部和南部的首批部队已经在演习后抵达其长期驻扎地。",",俄罗斯国防部发言人伊戈尔·科纳申科夫当地时间14日表示,自俄罗斯开展特别军事行动以来,俄军已摧毁乌克兰超3900处军事目标。"
89.txt,1027.txt,",17日,俄罗斯国防部发言人科纳申科夫表示,俄罗斯执行演习任务的西部和南部的首批部队已经在演习后抵达其长期驻扎地。",",俄罗斯国防部发言人科纳申科夫说,俄军用“伊斯坎德尔”导弹摧毁了位于顿涅茨克的两座乌克兰大型军械库。"
89.txt,1072.txt,"俄罗斯国防部发言人科纳申科夫表示,俄罗斯执行演习任务的西部和南部的首批部队已经在演习后抵达其长期驻扎地。",",当地时间1日,俄罗斯国防部发言人科纳申科夫表示,自特别军事行动展开以来,俄军已摧毁乌克兰124架飞机和81架直升机。"
89.txt,1112.txt,"俄罗斯国防部发言人科纳申科夫表示,俄罗斯执行演习任务的西部和南部的首批部队已经在演习后抵达其长期驻扎地。",",俄罗斯国防部发言人伊戈尔·科纳申科夫当地时间4日表示,自俄罗斯开展特别军事行动以来,俄军已摧毁乌克兰近2000辆坦克等装甲战车。"
89.txt,1415.txt,"俄罗斯国防部发言人科纳申科夫表示,俄罗斯执行演习任务的西部和南部的首批部队已经在演习后抵达其长期驻扎地。",",俄罗斯国防部发言人伊戈尔·科纳申科夫20日表示,自俄罗斯开展特别军事行动以来,俄军已摧毁乌克兰近500架无人机。"
89.txt,1435.txt,"俄罗斯国防部发言人科纳申科夫表示,俄罗斯执行演习任务的西部和南部的首批部队已经在演习后抵达其长期驻扎地。",",当地时间21日,俄罗斯国防部发言人科纳申科夫表示,俄罗斯的导弹部队和炮兵部队过去一天打击了乌克兰的1001个军事目标。"
89.txt,1464.txt,"俄罗斯国防部发言人科纳申科夫表示,俄罗斯执行演习任务的西部和南部的首批部队已经在演习后抵达其长期驻扎地。",",俄罗斯国防部发言人科纳申科夫当地时间23日表示,俄军过去一天打击了乌克兰超1000个军事目标。"
89.txt,1478.txt,",17日,俄罗斯国防部发言人科纳申科夫表示,俄罗斯执行演习任务的西部和南部的首批部队已经在演习后抵达其长期驻扎地。",",俄罗斯国防部发言人科纳申科夫当地时间24日表示,俄军过去一天打击了乌克兰423个军事目标。"
89.txt,1528.txt,",17日,俄罗斯国防部发言人科纳申科夫表示,俄罗斯执行演习任务的西部和南部的首批部队已经在演习后抵达其长期驻扎地。"," 据俄罗斯卫星通讯社消息,当地时间27日,俄罗斯国防部发言人科纳申科夫表示,自俄在乌特别军事行动以来,俄军已摧毁乌克兰近2600辆装甲车。"
128.txt,129.txt,"从乌克兰发射的一枚炮弹击中俄联邦安全局罗斯托夫州边境服务机构,导致建筑物完全被毁,无人员伤亡。",乌克兰方面则对此予以否认。
128.txt,5120.txt,从乌克兰发射的一枚炮弹击中俄联邦安全局罗斯托夫州边境服务机构,"建筑物被完全摧毁,但没有造成人员伤亡。"
135.txt,183.txt,"在俄罗斯签署法令承认“顿涅茨克人民共和国”和“卢甘斯克人民共和国”后,美国宣布首批对俄制裁措施。美国当地时间21日宣布对俄罗斯实施金融制裁,并警告说如有必要,准备实施更多制裁。","但专家认为,制裁行动雷声大雨点小,现阶段对俄罗斯和西方国家的冲击都有限。"
140.txt,147.txt," 俄罗斯总统普京当地时间21日晚发表全国电视讲话并签署总统令,承认乌克兰东部民间武装自行成立的“顿涅茨克人民共和国”和“卢甘斯克人民共和国”的独立地位",俄罗斯总统普京与顿涅茨克和卢甘斯克领导人签署与俄罗斯“友好合作互助条约”
145.txt,174.txt,",在俄罗斯总统普京当地时间21日宣布承认乌克兰东部顿涅茨克和卢甘斯克两区“独立”后,乌克兰总统泽连斯基表态拒绝在维护乌克兰领土完整上做出任何让步。",",俄罗斯总统普京宣布承认乌克兰东部顿涅茨克和卢甘斯克两区“独立”后,乌克兰反对党“反对派平台-为了生活”党22日发表声明,呼吁乌克兰总统泽连斯基辞职。"
147.txt,2937.txt,"俄罗斯联邦委员会主席马特维延科表示,俄联邦委员会已收到普京关于在俄罗斯境外动用武装力量的请求。","当地时间21日,俄罗斯总统普京签署承认“顿涅茨克人民共和国”和“卢甘斯克人民共和国”的总统令,并签署俄罗斯与“顿涅茨克人民共和国”和“卢甘斯克人民共和国”的友好合作互助条约。"
150.txt,5153.txt,"当地时间2022年2月21日,俄罗斯莫斯科,俄总统普京签署宣布承认顿涅茨克人民共和国和卢甘斯克人民共和国的总统令,宣布承认乌东民间武装自称的顿涅茨克人民共和国和卢甘斯克人民共和国为独立国家。","俄方承认乌东两区独立将导致冲突升级 当地时间22日,乌克兰外交部发言人尼科连科通过社交媒体表示,乌方谴责俄罗斯承认卢甘斯克和顿涅茨克地区独立,俄方的决定将不具有法律效力,反而将导致地区冲突升级。这同时标志着俄罗斯退出了明斯克协议。"
152.txt,1443.txt,",当地时间22日,澳大利亚外交部长佩恩表示,由于乌东局势风险增加,该国已经暂时关闭了其在乌克兰西部城市利沃夫的大使馆业务。",",当地时间21日,美国总统拜登在白宫就乌克兰局势发表讲话,他宣布向乌克兰政府提供另外5亿美元的经济援助。"
153.txt,180.txt," 当地时间22日凌晨,乌克兰总统泽连斯基在结束乌国家安全与国防委员会紧急会议后,向乌人民发表讲话,称俄罗斯承认“顿涅茨克和卢甘斯克临时被占领土”的“独立”,是侵犯乌克兰的主权和领土完整。","当地时间23日,乌克兰国家安全与国防委员会已要求在乌全国范围内实施紧急状态,其中不包括乌东部顿涅茨克州和卢甘斯克州。"
