content1,content2,relation
格鲁吉亚总理:不打算建立反对俄罗斯的“第二战线”。,"前不久乌克兰国家安全与国防委员会秘书丹尼洛夫表示,乌克兰非常需要其他反对俄罗斯战线的帮助。",反转关系
"当地时间11日,奥地利总理内哈默已经离开奥驻俄罗斯使馆,前去同俄总统普京会面。 ","当地时间12日,俄罗斯别尔哥罗德州州长格拉德科夫表示,别尔哥罗德州与乌克兰接壤的谢别金斯基城区的铁轨遭到破坏,无人员伤亡。格拉德科夫说,目前俄联邦侦查委员会特别工作组正在对此事件进行调查。",无关系
"当地时间11日,奥地利总理内哈默已经离开奥驻俄罗斯使馆,前去同俄总统普京会面。 ","当地时间16日,俄罗斯宣布对英国首相进行制裁。",无关系
"当地时间11日,奥地利总理内哈默已经离开奥驻俄罗斯使馆,前去同俄总统普京会面。","克里姆林宫表示,俄罗斯在乌克兰的行动按计划进行。 ",无关系
"当地时间11日,奥地利总理内哈默已经离开奥驻俄罗斯使馆,前去同俄总统普京会面。","乌克兰马里乌波尔,俄乌冲突持续,港口满目苍夷。",无关系
"当地时间11日,奥地利总理内哈默已经离开奥驻俄罗斯使馆,前去同俄总统普京会面。 ","当地时间2022年4月25日,俄罗斯西部城市布良斯克的一处石油基地发生火灾。根据紧急情况部门透露的消息,事故未导致人员伤亡,暂时没有疏散附近居民的必要。布良斯克市民当晚在社交媒体发布的视频显示,当地油库的火灾仍在持续,同时有市民反映空气中异味严重。",无关系
"当地时间11日,奥地利总理内哈默已经离开奥驻俄罗斯使馆,前去同俄总统普京会面。","当地时间4月28日,乌克兰24频道援引联合国驻乌克兰人道主义事务协调办事处消息联合国秘书长古特雷斯抵达位于乌克兰基辅州的博罗江卡。",无关系
"当地时间11日晚,法国外交部召见俄罗斯驻法使馆第二号外交官,并随即宣布,六名俄罗斯情报人员被列为“不受欢迎的人”,他们所从事的活动违反了法国国家利益,并决定将六人驱逐出境。","俄罗斯外交部发言人扎哈罗娃表示,俄方将对法国宣布再驱逐6名俄驻法外交人员作出回应。扎哈罗娃强调,持续驱逐俄罗斯外交人员不会改变俄罗斯在乌克兰问题上的立场。",因果关系
"当地时间11日,乌克兰总统泽连斯基签署了关于取消春季征兵和义务兵复员的法令。",乌总统泽连斯基签署了封禁亲俄政党的法令。,无关系
"当地时间12日,俄罗斯别尔哥罗德州州长格拉德科夫表示,别尔哥罗德州与乌克兰接壤的谢别金斯基城区的铁轨遭到破坏,无人员伤亡。格拉德科夫说,目前俄联邦侦查委员会特别工作组正在对此事件进行调查。 ","当地时间16日,俄罗斯宣布对英国首相进行制裁。 ",无关系
"当地时间12日,俄罗斯别尔哥罗德州州长格拉德科夫表示,别尔哥罗德州与乌克兰接壤的谢别金斯基城区的铁轨遭到破坏,无人员伤亡。格拉德科夫说,目前俄联邦侦查委员会特别工作组正在对此事件进行调查。","克里姆林宫表示,俄罗斯在乌克兰的行动按计划进行。",无关系
"当地时间12日,俄罗斯别尔哥罗德州州长格拉德科夫表示,别尔哥罗德州与乌克兰接壤的谢别金斯基城区的铁轨遭到破坏,无人员伤亡。 格拉德科夫说,目前俄联邦侦查委员会特别工作组正在对此事件进行调查。 ","乌克兰马里乌波尔,俄乌冲突持续,港口满目苍夷。 ",无关系
"当地时间12日,俄罗斯别尔哥罗德州州长格拉德科夫表示,别尔哥罗德州与乌克兰接壤的谢别金斯基城区的铁轨遭到破坏,无人员伤亡。 格拉德科夫说,目前俄联邦侦查委员会特别工作组正在对此事件进行调查。 ","当地时间2022年4月25日,俄罗斯西部城市布良斯克的一处石油基地发生火灾。根据紧急情况部门透露的消息,事故未导致人员伤亡,暂时没有疏散附近居民的必要。布良斯克市民当晚在社交媒体发布的视频显示,当地油库的火灾仍在持续,同时有市民反映空气中异味严重。 ",无关系
"当地时间12日,俄罗斯别尔哥罗德州州长格拉德科夫表示,别尔哥罗德州与乌克兰接壤的谢别金斯基城区的铁轨遭到破坏,无人员伤亡。 格拉德科夫说,目前俄联邦侦查委员会特别工作组正在对此事件进行调查。 ","当地时间4月28日,乌克兰24频道援引联合国驻乌克兰人道主义事务协调办事处消息联合国秘书长古特雷斯抵达位于乌克兰基辅州的博罗江卡。 ",无关系
"今天上午,国务院新闻办公室举行新闻发布会,海关总署新闻发言人、统计分析司司长李魁文介绍2022年一季度进出口情况。 李魁文表示,据海关统计,今年一季度我国对俄罗斯进出口24303亿元,对乌克兰进出口2959亿元,都保持了同比增长态势。 ","他说:“关于俄乌冲突对贸易的影响,相关部门已经做过回应,我们也持续关注。海关将继续服务中国与俄罗斯、乌克兰等相关国家的正常经贸合作。”",顺承关系
"今天上午,国务院新闻办公室举行新闻发布会,海关总署新闻发言人、统计分析司司长李魁文介绍2022年一季度进出口情况。 李魁文表示,据海关统计,今年一季度我国对俄罗斯进出口24303亿元,对乌克兰进出口2959亿元,都保持了同比增长态势。","他说:“关于俄乌冲突对贸易的影响,相关部门已经做过回应,我们也持续关注。海关将继续服务中国与俄罗斯、乌克兰等相关国家的正常经贸合作。” ",顺承关系
"当地时间13日,俄罗斯联邦委员会主席马特维延科再次强调,不会对离开俄罗斯的外国公司的资产进行国有化措施。","当地时间23日,俄罗斯联邦侦查委员会主席巴斯特雷金下令,要求对英国向乌克兰派遣的20名破坏行动专家的信息进行分析调查。",无关系
"当地时间13日,俄罗斯经济发展部发布消息俄罗斯年通货膨胀率截止到4月8日,已上涨至1749%,一周前为167%。","当地时间16日,俄罗斯财政部发布消息从2022年6月1日起,俄罗斯石油出口税每吨将下调48美元至448美元。",无关系
"俄罗斯国防部发布消息俄罗斯黑海舰队“莫斯科”号巡洋舰的火势已得到控制,舰上不再发生弹药爆炸情况。 据在社交媒体发文驻守蛇岛的乌边防部队当天用“海王星”巡航导弹重创了行驶在附近水域的俄黑海舰队旗舰“莫斯科”号巡洋舰。","俄罗斯国防部14日证实,俄黑海舰队“莫斯科”号巡洋舰起火并导致舰上弹药爆炸,该舰严重受损。目前船员已被疏散,起火原因正在调查中。 乌克兰总统办公室顾问阿列斯托维奇13日在电视直播节目中发布了“莫斯科”号巡洋舰起火的消息。",顺承关系
