 name,type,value,date
阿肯色州,洲,367,2020/4/12
阿肯色州,洲,391,2020/4/13
阿肯色州,洲,427,2020/4/14
阿肯色州,洲,489,2020/4/15
阿肯色州,洲,548,2020/4/16
阿肯色州,洲,593,2020/4/17
阿肯色州,洲,703,2020/4/18
阿肯色州,洲,721,2020/4/19
阿肯色州,洲,749,2020/4/20
阿肯色州,洲,809,2020/4/21
阿肯色州,洲,863,2020/4/22
阿肯色州,洲,902,2020/4/24
阿肯色州,洲,929,2020/4/25
阿肯色州,洲,964,2020/4/26
阿肯色州,洲,985,2020/4/27
阿肯色州,洲,987,2020/4/28
阿肯色州,洲,1146,2020/4/29
阿肯色州,洲,1249,2020/4/30
阿肯色州,洲,1305,2020/5/1
阿肯色州,洲,1973,2020/5/2
阿肯色州,洲,1987,2020/5/3
阿肯色州,洲,1999,2020/5/4
阿肯色州,洲,2016,2020/5/5
阿肯色州,洲,2041,2020/5/6
阿肯色州,洲,2109,2020/5/7
阿肯色州,洲,2123,2020/5/8
阿肯色州,洲,2159,2020/5/9
阿肯色州,洲,2968,2020/5/10
阿肯色州,洲,2968,2020/5/11
阿肯色州,洲,3149,2020/5/12
阿肯色州,洲,3220,2020/5/13
阿肯色州,洲,3220,2020/5/14
阿肯色州,洲,3277,2020/5/15
阿肯色州,洲,3390,2020/5/16
阿肯色州,洲,3472,2020/5/17
阿肯色州,洲,3590,2020/5/18
阿肯色州,洲,3645,2020/5/19
阿肯色州,洲,3739,2020/5/20
阿肯色州,洲,3852,2020/5/21
阿肯色州,洲,3915,2020/5/22
阿肯色州,洲,4029,2020/5/23
阿肯色州,洲,4029,2020/5/24
阿肯色州,洲,4148,2020/5/25
阿肯色州,洲,4249,2020/5/26
阿肯色州,洲,4332,2020/5/27
阿肯色州,洲,4424,2020/5/28
阿肯色州,洲,4583,2020/5/29
阿肯色州,洲,4583,2020/5/30
阿肯色州,洲,5166,2020/5/31
阿肯色州,洲,5275,2020/6/1
阿肯色州,洲,5401,2020/6/2
阿肯色州,洲,5401,2020/6/3
阿肯色州,洲,5717,2020/6/4
阿肯色州,洲,5717,2020/6/5
阿肯色州,洲,5919,2020/6/6
阿肯色州,洲,6266,2020/6/7
阿肯色州,洲,6424,2020/6/8
阿肯色州,洲,6424,2020/6/9
阿肯色州,洲,6875,2020/6/10
阿肯色州,洲,7116,2020/6/11
阿肯色州,洲,7351,2020/6/12
阿肯色州,洲,7607,2020/6/13
阿肯色州,洲,7607,2020/6/14
阿肯色州,洲,8110,2020/6/15
